Uhrzeit;Temp;;;;;
0:20;-2;;;;;
0:50;-2 ;;;;;
1:20;-2 ;;;;;
1:50;-3 ;;;;;
2:20;-1 ;;;;;
2:50;-2 ;;;;;
3:20;-1 ;;;;;
3:50;-2 ;;;;;
4:20;-1 ;;;;;
4:50;-1 ;;;;;
5:20;-2 ;;;;;
5:50;-2 ;;;;;
6:20;-2 ;;;;;
6:50;-3 ;;;;;
7:20;-3 ;;;;;
7:50;-1 ;;;;;
8:20;-1 ;;;;;
8:50;0 ;;;;;
9:20;1 ;;;;;
9:50;2 ;;;;;
10:20;2 ;;;;;
10:50;3 ;;;;;
11:20;3 ;;;;;
11:50;4 ;;;;;
12:20;4 ;;;;;
12:50;5 ;;;;;
13:20;6 ;;;;;
13:50;6 ;;;;;
14:20;6 ;;;;;
14:50;6 ;;;;;
15:20;5 ;;;;;
15:50;4 ;;;;;
16:20;4 ;;;;;
16:50;3 ;;;;;
17:20;3 ;;;;;
17:50;3 ;;;;;
18:20;2 ;;;;;
18:50;3 ;;;;;
19:20;3 ;;;;;
19:50;3 ;;;;;
20:50;2 ;;;;;
21:20;1 ;;;;;
21:50;1 ;;;;;
22:20;1 ;;;;;
22:50;1 ;;;;;
23:20;1 ;;;;;
23:50;1 ;;;;;
